row_nr,Title,Series,Num,Author,Status,Returned,Source,Url
0,Columbus Day,Expeditionary Force,01,Alanson Craig,Read,2016-10-01,Amazon Unlimited,https://smile.amazon.com/gp/product/B01AIGC31E?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
1,SpecOps,Expeditionary Force,02,Alanson Craig,Read,2016-10-01,Amazon Unlimited,""
2,Paradise,Expeditionary Force,03,Alanson Craig,Read,2016-11-07,Amazon Unlimited,""
3,Black Ops,Expeditionary Force,04,Alanson Craig,Won't Finish,2021-04-12,Amazon Unlimited,""
4,Duel in the Dark,Blood on the Stars,01,Allan Jay,Read,2018-01-11,Amazon Unlimited,https://smile.amazon.com/gp/product/B01MCZZTPS?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
5,Call to Arms,Blood on the Stars,02,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
6,Ruins of Empire,Blood on the Stars,03,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
7,Echoes of Glory,Blood on the Stars,04,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
8,Cauldron of Fire,Blood on the Stars,05,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
9,Dauntless,Blood on the Stars,06,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
10,Black Dawn,Blood on the Stars,08,Allan Jay,Read,2018-09-15,Amazon Unlimited,""
